zone,year,population,water_supply_mgd,water_demand_mgd,groundwater_extraction_mgd,groundwater_recharge_mgd,energy_consumption_mu,solar_capacity_mw,renewable_share_percent,waste_generated_tpd,waste_processed_tpd,landfill_dependency_percent,green_space_sqkm,tree_cover_percent,built_up_density_percent,ghg_emissions_mtco2,transport_emissions_mtco2,waste_emissions_mtco2,sustainability_score
South,2016,3200000,126,147,39,36,4320,42,1.0,1130,678,40,28.8,22.9,56,5.2,2.5,0.4,66
South,2017,3280000,127,152,40,36,4440,50,1.2,1160,754,35,29.1,23.3,57,5.3,2.6,0.4,67
South,2018,3360000,128,157,41,37,4560,58,1.3,1190,833,30,29.4,23.7,58,5.4,2.7,0.3,68
South,2019,3440000,129,162,42,37,4680,67,1.5,1220,915,26,29.7,24.1,59,5.5,2.8,0.3,69
South,2020,3520000,130,167,43,38,4800,76,1.6,1250,1000,22,30.0,24.5,60,5.6,2.9,0.3,70
South,2021,3600000,131,172,44,38,4920,86,1.8,1280,1088,18,30.3,24.9,61,5.7,3.0,0.3,71
South,2022,3680000,132,177,45,39,5040,97,1.9,1310,1179,15,30.6,25.3,62,5.8,3.1,0.3,72
South,2023,3760000,133,182,46,39,5160,108,2.0,1340,1273,12,30.9,25.7,63,5.9,3.2,0.2,73
South,2024,3840000,134,187,47,40,5280,120,2.2,1370,1370,10,31.2,26.1,64,6.0,3.3,0.2,74
South,2025,3920000,135,192,48,40,5400,132,2.3,1400,1470,8,31.5,26.5,65,6.1,3.4,0.2,75
South,2026,4000000,136,197,49,41,5520,145,2.5,1430,1573,6,31.8,26.9,66,6.2,3.5,0.2,76
South,2027,4080000,137,202,50,41,5640,158,2.6,1460,1680,5,32.1,27.3,67,6.3,3.6,0.2,77
South,2028,4160000,138,207,51,42,5760,172,2.8,1490,1790,4,32.4,27.7,68,6.4,3.7,0.2,78
South,2029,4240000,139,212,52,42,5880,186,2.9,1520,1903,3,32.7,28.1,69,6.5,3.8,0.2,79
South,2030,4320000,140,217,53,43,6000,201,3.1,1550,2020,2,33.0,28.5,70,6.6,3.9,0.2,80
East,2015,2850000,88,142,58,22,3500,12,0.4,1350,405,70,8.5,9.2,82,5.8,2.2,0.8,42
East,2016,2940000,89,148,60,22,3620,14,0.4,1395,419,70,8.4,9.0,83,6.0,2.3,0.8,41
East,2017,3030000,90,154,62,23,3740,16,0.5,1440,432,70,8.3,8.8,84,6.2,2.4,0.9,40
East,2018,3120000,91,160,64,23,3860,18,0.5,1485,446,69,8.2,8.6,85,6.4,2.5,0.9,39
East,2019,3210000,92,166,66,24,3980,20,0.5,1530,459,70,8.1,8.4,86,6.6,2.6,0.9,38
East,2020,3300000,93,172,68,24,4100,22,0.6,1575,472,70,8.0,8.2,87,6.8,2.7,0.9,37
East,2021,3390000,94,178,70,25,4220,24,0.6,1620,486,69,7.9,8.0,88,7.0,2.8,0.9,36
East,2022,3480000,95,184,72,25,4340,26,0.6,1665,499,70,7.8,7.8,89,7.2,2.9,1.0,35
East,2023,3570000,96,190,74,26,4460,28,0.7,1710,513,69,7.7,7.6,90,7.4,3.0,1.0,34
East,2024,3660000,97,196,76,26,4580,31,0.7,1755,526,70,7.6,7.4,91,7.6,3.1,1.0,33
East,2025,3750000,98,202,78,27,4700,34,0.8,1800,540,70,7.5,7.2,92,7.8,3.2,1.0,32
East,2026,3840000,99,208,80,27,4820,37,0.8,1845,553,70,7.4,7.0,93,8.0,3.3,1.0,31
East,2027,3930000,100,214,82,28,4940,40,0.9,1890,567,69,7.3,6.8,94,8.2,3.4,1.0,30
East,2028,4020000,101,220,84,28,5060,43,0.9,1935,580,70,7.2,6.6,95,8.4,3.5,1.0,29
East,2029,4110000,102,226,86,29,5180,46,0.9,1980,594,70,7.1,6.4,96,8.6,3.6,1.0,28
East,2030,4200000,98,232,88,29,5300,50,1.0,2025,608,70,7.0,6.2,97,8.8,3.7,1.1,27
West,2015,2680000,102,128,45,30,3400,22,0.7,980,490,50,15.2,16.2,65,4.8,2.0,0.5,59
West,2016,2750000,103,132,46,31,3500,26,0.8,1010,556,45,15.4,16.6,66,4.9,2.1,0.5,60
West,2017,2820000,104,136,47,31,3600,30,0.9,1040,624,40,15.6,17.0,67,5.0,2.2,0.5,61
West,2018,2890000,105,140,48,32,3700,35,1.0,1070,695,35,15.8,17.4,68,5.1,2.3,0.4,62
West,2019,2960000,106,144,49,32,3800,40,1.1,1100,768,31,16.0,17.8,69,5.2,2.4,0.4,63
West,2020,3030000,107,148,50,33,3900,45,1.2,1130,844,27,16.2,18.2,70,5.3,2.5,0.4,64
West,2021,3100000,108,152,51,33,4000,51,1.3,1160,922,22,16.4,18.6,71,5.4,2.6,0.4,65
West,2022,3170000,109,156,52,34,4100,57,1.4,1190,1003,18,16.6,19.0,72,5.5,2.7,0.4,66
West,2023,3240000,110,160,53,34,4200,63,1.5,1220,1087,15,16.8,19.4,73,5.6,2.8,0.3,67
West,2024,3310000,111,164,54,35,4300,70,1.6,1250,1173,12,17.0,19.8,74,5.7,2.9,0.3,68
West,2025,3380000,112,168,55,35,4400,77,1.8,1280,1262,10,17.2,20.2,75,5.8,3.0,0.3,69
West,2026,3450000,113,172,56,36,4500,84,1.9,1310,1354,8,17.4,20.6,76,5.9,3.1,0.3,70
West,2027,3520000,114,176,57,36,4600,92,2.0,1340,1449,6,17.6,21.0,77,6.0,3.2,0.3,71
West,2028,3590000,115,180,58,37,4700,100,2.1,1370,1547,5,17.8,21.4,78,6.1,3.3,0.3,72
West,2029,3660000,116,184,59,37,4800,108,2.2,1400,1648,4,18.0,21.8,79,6.2,3.4,0.3,73
West,2030,3730000,117,188,60,38,4900,117,2.4,1430,1752,3,18.2,22.2,80,6.3,3.5,0.3,74
Central,2015,1580000,78,92,28,18,2800,32,1.2,520,286,45,9.8,18.5,72,4.2,2.8,0.3,62
Central,2016,1610000,79,94,29,18,2880,38,1.4,535,321,40,9.9,18.9,73,4.3,2.9,0.3,63
Central,2017,1640000,80,96,30,19,2960,44,1.5,550,358,35,10.0,19.3,74,4.4,3.0,0.3,64
Central,2018,1670000,81,98,31,19,3040,51,1.7,565,396,31,10.1,19.7,75,4.5,3.1,0.3,65
Central,2019,1700000,82,100,32,20,3120,58,1.9,580,436,27,10.2,20.1,76,4.6,3.2,0.3,66
Central,2020,1730000,83,102,33,20,3200,66,2.1,595,478,22,10.3,20.5,77,4.7,3.3,0.3,67
Central,2021,1760000,84,104,34,21,3280,74,2.3,610,522,18,10.4,20.9,78,4.8,3.4,0.2,68
Central,2022,1790000,85,106,35,21,3360,82,2.5,625,568,15,10.5,21.3,79,4.9,3.5,0.2,69
Central,2023,1820000,86,108,36,22,3440,91,2.7,640,616,12,10.6,21.7,80,5.0,3.6,0.2,70
Central,2024,1850000,87,110,37,22,3520,100,2.8,655,666,10,10.7,22.1,81,5.1,3.7,0.2,71
Central,2025,1880000,88,112,38,23,3600,110,3.1,670,718,8,10.8,22.5,82,5.2,3.8,0.2,72
Central,2026,1910000,89,114,39,23,3680,120,3.3,685,772,6,10.9,22.9,83,5.3,3.9,0.2,73
Central,2027,1940000,90,116,40,24,3760,131,3.5,700,828,5,11.0,23.3,84,5.4,4.0,0.2,74
Central,2028,1970000,91,118,41,24,3840,142,3.6,715,886,4,11.1,23.7,85,5.5,4.1,0.2,75
Central,2029,2000000,92,120,42,25,3920,154,3.8,730,946,3,11.2,24.1,86,5.6,4.2,0.2,76
Central,2030,2030000,93,122,43,25,4000,166,4.0,745,1008,2,11.3,24.5,87,5.7,4.3,0.2,77
North-East,2015,2980000,82,158,68,18,3600,8,0.2,1420,426,70,7.2,7.8,85,6.2,2.0,0.9,38
North-East,2016,3080000,83,165,71,18,3740,9,0.3,1470,441,70,7.1,7.6,86,6.5,2.1,0.9,36
North-East,2017,3180000,84,172,74,19,3880,10,0.3,1520,456,70,7.0,7.4,87,6.8,2.2,0.9,34
North-East,2018,3280000,85,179,77,19,4020,11,0.3,1570,471,70,6.9,7.2,88,7.1,2.3,0.9,32
North-East,2019,3380000,86,186,80,20,4160,12,0.3,1620,486,70,6.8,7.0,89,7.4,2.4,0.9,30
North-East,2020,3480000,87,193,83,20,4300,13,0.3,1670,501,70,6.7,6.8,90,7.7,2.5,0.9,28
North-East,2021,3580000,88,200,86,21,4440,14,0.3,1720,516,70,6.6,6.6,91,8.0,2.6,0.9,26
North-East,2022,3680000,89,207,89,21,4580,15,0.4,1770,531,70,6.5,6.4,92,8.3,2.7,1.0,24
North-East,2023,3780000,90,214,92,22,4720,17,0.4,1820,546,70,6.4,6.2,93,8.6,2.8,1.0,22
North-East,2024,3880000,91,221,95,22,4860,19,0.4,1870,561,70,6.3,6.0,94,8.9,2.9,1.0,20
North-East,2025,3980000,92,228,98,23,5000,21,0.5,1920,576,70,6.2,5.8,95,9.2,3.0,1.0,18
North-East,2026,4080000,93,235,101,23,5140,23,0.5,1970,591,70,6.1,5.6,96,9.5,3.1,1.0,16
North-East,2027,4180000,94,242,104,24,5280,25,0.5,2020,606,70,6.0,5.4,97,9.8,3.2,1.0,14
North-East,2028,4280000,95,249,107,24,5420,27,0.5,2070,621,70,5.9,5.2,98,10.1,3.3,1.0,12
North-East,2029,4380000,96,256,110,25,5560,29,0.6,2120,636,70,5.8,5.0,99,10.4,3.4,1.0,10
North-East,2030,4480000,97,263,113,25,5700,32,0.6,2170,651,70,5.7,4.8,99,10.7,3.5,1.1,8
North-West,2015,2340000,95,114,40,27,3100,20,0.7,850,425,50,14.5,15.8,66,4.5,1.9,0.4,60
North-West,2016,2400000,96,118,41,28,3180,24,0.8,875,481,45,14.6,16.2,67,4.6,2.0,0.4,61
North-West,2017,2460000,97,122,42,28,3260,28,0.9,900,540,40,14.7,16.6,68,4.7,2.1,0.4,62
North-West,2018,2520000,98,126,43,29,3340,32,1.0,925,601,35,14.8,17.0,69,4.8,2.2,0.3,63
North-West,2019,2580000,99,130,44,29,3420,37,1.1,950,665,31,14.9,17.4,70,4.9,2.3,0.3,64
North-West,2020,2640000,100,134,45,30,3500,42,1.2,975,732,27,15.0,17.8,71,5.0,2.4,0.3,65
North-West,2021,2700000,101,138,46,30,3580,47,1.3,1000,801,22,15.1,18.2,72,5.1,2.5,0.3,66
North-West,2022,2760000,102,142,47,31,3660,53,1.5,1025,874,18,15.2,18.6,73,5.2,2.6,0.3,67
North-West,2023,2820000,103,146,48,31,3740,59,1.6,1050,950,15,15.3,19.0,74,5.3,2.7,0.3,68
North-West,2024,2880000,104,150,49,32,3820,65,1.7,1075,1029,12,15.4,19.4,75,5.4,2.8,0.2,69
North-West,2025,2940000,105,154,50,32,3900,72,1.8,1100,1111,10,15.5,19.8,76,5.5,2.9,0.2,70
North-West,2026,3000000,106,158,51,33,3980,79,2.0,1125,1196,8,15.6,20.2,77,5.6,3.0,0.2,71
North-West,2027,3060000,107,162,52,33,4060,86,2.1,1150,1284,6,15.7,20.6,78,5.7,3.1,0.2,72
North-West,2028,3120000,108,166,53,34,4140,94,2.2,1175,1375,5,15.8,21.0,79,5.8,3.2,0.2,73
North-West,2029,3180000,109,170,54,34,4220,102,2.3,1200,1469,4,15.9,21.4,80,5.9,3.3,0.2,74
North-West,2030,3240000,110,174,55,35,4300,110,2.5,1225,1566,3,16.0,21.8,81,6.0,3.4,0.2,75
South-West,2015,2890000,118,135,35,32,3800,28,0.8,1050,525,50,18.2,19.5,58,5.0,2.2,0.4,63
South-West,2016,2960000,119,140,36,33,3920,34,0.9,1080,594,45,18.4,19.9,59,5.1,2.3,0.4,64
South-West,2017,3030000,120,145,37,33,4040,40,1.0,1110,666,40,18.6,20.3,60,5.2,2.4,0.4,65
South-West,2018,3100000,121,150,38,34,4160,47,1.1,1140,741,35,18.8,20.7,61,5.3,2.5,0.3,66
South-West,2019,3170000,122,155,39,34,4280,54,1.3,1170,819,31,19.0,21.1,62,5.4,2.6,0.3,67
South-West,2020,3240000,123,160,40,35,4400,62,1.4,1200,900,27,19.2,21.5,63,5.5,2.7,0.3,68
South-West,2021,3310000,124,165,41,35,4520,70,1.5,1230,984,22,19.4,21.9,64,5.6,2.8,0.3,69
South-West,2022,3380000,125,170,42,36,4640,79,1.7,1260,1071,18,19.6,22.3,65,5.7,2.9,0.3,70
South-West,2023,3450000,126,175,43,36,4760,88,1.8,1290,1161,15,19.8,22.7,66,5.8,3.0,0.3,71
South-West,2024,3520000,127,180,44,37,4880,97,1.9,1320,1254,12,20.0,23.1,67,5.9,3.1,0.2,72
South-West,2025,3590000,128,185,45,37,5000,107,2.1,1350,1350,10,20.2,23.5,68,6.0,3.2,0.2,73
South-West,2026,3660000,129,190,46,38,5120,117,2.2,1380,1449,8,20.4,23.9,69,6.1,3.3,0.2,74
South-West,2027,3730000,130,195,47,38,5240,128,2.3,1410,1551,6,20.6,24.3,70,6.2,3.4,0.2,75
South-West,2028,3800000,131,200,48,39,5360,139,2.5,1440,1656,5,20.8,24.7,71,6.3,3.5,0.2,76
South-West,2029,3870000,132,205,49,39,5480,151,2.6,1470,1764,4,21.0,25.1,72,6.4,3.6,0.2,77
South-West,2030,3940000,133,210,50,40,5600,163,2.8,1500,1875,3,21.2,25.5,73,6.5,3.7,0.2,78
South-East,2015,2720000,92,118,48,24,3400,15,0.5,1020,510,50,11.5,12.8,70,4.9,2.1,0.5,55
South-East,2016,2790000,93,122,49,25,3520,18,0.6,1050,567,46,11.5,13.1,71,5.0,2.2,0.5,56
South-East,2017,2860000,94,126,50,25,3640,21,0.6,1080,626,42,11.5,13.4,72,5.1,2.3,0.5,57
South-East,2018,2930000,95,130,51,26,3760,25,0.7,1110,687,38,11.5,13.7,73,5.2,2.4,0.4,58
South-East,2019,3000000,96,134,52,26,3880,29,0.8,1140,750,34,11.5,14.0,74,5.3,2.5,0.4,59
South-East,2020,3070000,97,138,53,27,4000,33,0.9,1170,816,30,11.5,14.3,75,5.4,2.6,0.4,60
South-East,2021,3140000,98,142,54,27,4120,38,0.9,1200,885,26,11.5,14.6,76,5.5,2.7,0.4,61
South-East,2022,3210000,99,146,55,28,4240,43,1.0,1230,957,22,11.5,14.9,77,5.6,2.8,0.4,62
South-East,2023,3280000,100,150,56,28,4360,48,1.1,1260,1032,18,11.5,15.2,78,5.7,2.9,0.3,63
South-East,2024,3350000,101,154,57,29,4480,54,1.2,1290,1109,15,11.5,15.5,79,5.8,3.0,0.3,64
South-East,2025,3420000,102,158,58,29,4600,60,1.3,1320,1189,12,11.5,15.8,80,5.9,3.1,0.3,65
South-East,2026,3490000,103,162,59,30,4720,66,1.4,1350,1272,10,11.5,16.1,81,6.0,3.2,0.3,66
South-East,2027,3560000,104,166,60,30,4840,73,1.5,1380,1358,8,11.5,16.4,82,6.1,3.3,0.3,67
South-East,2028,3630000,105,170,61,31,4960,80,1.6,1410,1447,6,11.5,16.7,83,6.2,3.4,0.3,68
South-East,2029,3700000,106,174,62,31,5080,88,1.7,1440,1539,5,11.5,17.0,84,6.3,3.5,0.3,69
South-East,2030,3770000,107,178,63,32,5200,96,1.9,1470,1634,3,11.5,17.3,85,6.4,3.6,0.3,70
