zone,year,population,water_supply_mgd,water_demand_mgd,groundwater_extraction_mgd,groundwater_recharge_mgd,energy_consumption_mu,solar_capacity_mw,renewable_share_percent,waste_generated_tpd,waste_processed_tpd,landfill_dependency_percent,green_space_sqkm,tree_cover_percent,built_up_density_percent,ghg_emissions_mtco2,transport_emissions_mtco2,waste_emissions_mtco2,sustainability_score
North,1830,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.093,42.13
North,1831,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.095,42.13
North,1832,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.097,42.13
North,1833,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.099,42.13
North,1834,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.1,42.13
North,1835,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.102,42.13
North,1836,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.104,42.13
North,1837,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.106,42.13
North,1838,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.107,42.13
North,1839,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.109,42.13
North,1840,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.111,42.13
North,1841,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.113,42.13
North,1842,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.114,42.13
North,1843,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.116,42.13
North,1844,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.118,42.13
North,1845,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.12,42.13
North,1846,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.121,42.13
North,1847,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.123,42.13
North,1848,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1849,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1850,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1851,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1852,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1853,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1854,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1855,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1856,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1857,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1858,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1859,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1860,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1861,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1862,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1863,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1864,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1865,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1866,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1867,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1868,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1869,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1870,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1871,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1872,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1873,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1874,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1875,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1876,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1877,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1878,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1879,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1880,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1881,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1882,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1883,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1884,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1885,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.0,3.5,20.0,0.5,0.06,0.125,42.13
North,1886,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.05,3.5,20.0,0.5,0.06,0.125,42.14
North,1887,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.15,3.5,20.0,0.5,0.06,0.125,42.15
North,1888,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.24,3.5,20.0,0.5,0.06,0.125,42.17
North,1889,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.33,3.5,20.0,0.5,0.06,0.125,42.19
North,1890,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.43,3.5,20.0,0.5,0.06,0.125,42.2
North,1891,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.52,3.5,20.0,0.5,0.06,0.125,42.22
North,1892,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.61,3.5,20.0,0.5,0.06,0.125,42.24
North,1893,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.71,3.5,20.0,0.5,0.06,0.125,42.26
North,1894,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.8,3.5,20.0,0.5,0.06,0.125,42.27
North,1895,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.89,3.5,20.0,0.5,0.06,0.125,42.29
North,1896,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,1.99,3.5,20.0,0.5,0.06,0.125,42.31
North,1897,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.08,3.5,20.0,0.5,0.06,0.125,42.32
North,1898,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.17,3.5,20.0,0.5,0.06,0.125,42.34
North,1899,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.27,3.5,20.0,0.5,0.06,0.125,42.36
North,1900,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.36,3.5,20.0,0.5,0.06,0.125,42.37
North,1901,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.45,3.5,20.0,0.5,0.06,0.125,42.39
North,1902,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.55,3.5,20.0,0.5,0.06,0.125,42.41
North,1903,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.64,3.5,20.0,0.5,0.06,0.125,42.42
North,1904,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.73,3.5,20.0,0.5,0.06,0.125,42.44
North,1905,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.83,3.5,20.0,0.5,0.06,0.125,42.46
North,1906,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,2.92,3.5,20.0,0.5,0.06,0.125,42.47
North,1907,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.01,3.5,20.0,0.5,0.06,0.125,42.49
North,1908,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.1,3.5,20.0,0.5,0.06,0.125,42.51
North,1909,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.2,3.5,20.0,0.5,0.06,0.125,42.52
North,1910,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.29,3.5,20.0,0.5,0.06,0.125,42.54
North,1911,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.38,3.5,20.0,0.5,0.06,0.125,42.56
North,1912,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.48,3.5,20.0,0.5,0.06,0.125,42.57
North,1913,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.57,3.5,20.0,0.5,0.06,0.125,42.59
North,1914,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.66,3.5,20.0,0.5,0.06,0.125,42.61
North,1915,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.76,3.5,20.0,0.5,0.06,0.125,42.62
North,1916,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.85,3.5,20.0,0.5,0.06,0.125,42.64
North,1917,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,3.94,3.5,20.0,0.5,0.06,0.125,42.66
North,1918,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.04,3.5,20.0,0.5,0.06,0.125,42.68
North,1919,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.13,3.5,20.0,0.5,0.06,0.125,42.69
North,1920,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.22,3.5,20.0,0.5,0.06,0.125,42.71
North,1921,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.32,3.5,20.0,0.5,0.06,0.125,42.73
North,1922,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.41,3.5,20.0,0.5,0.06,0.125,42.74
North,1923,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.5,3.5,20.0,0.5,0.06,0.125,42.76
North,1924,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.6,3.5,20.0,0.5,0.06,0.125,42.78
North,1925,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.69,3.5,20.0,0.5,0.06,0.125,42.79
North,1926,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.78,3.5,20.0,0.5,0.06,0.125,42.81
North,1927,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.88,3.5,20.0,0.5,0.06,0.125,42.83
North,1928,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,4.97,3.5,20.0,0.5,0.06,0.125,42.84
North,1929,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.06,3.5,20.0,0.5,0.06,0.125,42.86
North,1930,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.16,3.5,20.0,0.5,0.06,0.125,42.88
North,1931,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.25,3.5,20.0,0.5,0.06,0.125,42.89
North,1932,300000,15.0,15.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.34,3.5,20.0,0.5,0.06,0.125,42.91
North,1933,300000,16.0,16.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.44,3.5,20.0,0.5,0.06,0.125,42.93
North,1934,300000,17.0,17.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.53,3.5,20.0,0.5,0.06,0.125,42.94
North,1935,300000,18.0,18.5,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.62,3.5,20.0,0.5,0.06,0.125,42.96
North,1936,300000,19.0,19.6,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.72,3.5,20.0,0.5,0.06,0.125,42.98
North,1937,300000,20.0,20.6,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.81,3.5,20.0,0.5,0.06,0.125,42.99
North,1938,300000,21.0,21.6,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,5.9,3.5,20.0,0.5,0.06,0.125,43.01
North,1939,300000,22.0,22.7,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.0,3.5,20.0,0.5,0.06,0.125,43.03
North,1940,300000,23.0,23.7,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.09,3.5,20.0,0.5,0.06,0.125,43.04
North,1941,300000,24.0,24.7,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.18,3.5,20.0,0.5,0.06,0.125,43.06
North,1942,300000,25.0,25.8,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.28,3.5,20.0,0.5,0.06,0.125,43.08
North,1943,300000,26.0,26.8,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.37,3.5,20.0,0.5,0.06,0.125,43.09
North,1944,300000,27.0,27.8,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.46,3.5,20.0,0.5,0.06,0.125,43.11
North,1945,300000,28.0,28.8,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.56,3.5,20.0,0.5,0.06,0.125,43.13
North,1946,300000,29.0,29.9,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.65,3.5,20.0,0.5,0.06,0.125,43.15
North,1947,300000,30.0,30.9,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.74,3.5,20.0,0.5,0.06,0.125,43.16
North,1948,300000,31.0,31.9,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.84,3.5,20.0,0.5,0.06,0.125,43.18
North,1949,300000,32.0,33.0,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,6.93,3.5,20.0,0.5,0.06,0.125,43.2
North,1950,300000,33.0,34.0,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.02,3.5,20.0,0.5,0.06,0.125,43.21
North,1951,300000,34.0,35.0,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.12,3.5,20.0,0.5,0.06,0.125,43.23
North,1952,300000,35.0,36.1,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.21,3.5,20.0,0.5,0.06,0.125,43.25
North,1953,300000,36.0,37.1,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.3,3.5,20.0,0.5,0.06,0.125,43.26
North,1954,300000,37.0,38.1,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.4,3.5,20.0,0.5,0.06,0.125,43.28
North,1955,300000,38.0,39.1,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.49,3.5,20.0,0.5,0.06,0.125,43.3
North,1956,300000,39.0,40.2,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.58,3.5,20.0,0.5,0.06,0.125,43.31
North,1957,300000,40.0,41.2,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.68,3.5,20.0,0.5,0.06,0.125,43.33
North,1958,300000,41.0,42.2,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.77,3.5,20.0,0.5,0.06,0.125,43.35
North,1959,300000,42.0,43.3,1.5,1.0,180.0,1.0,0.2,60.0,3.6,92.0,7.86,3.5,20.0,0.5,0.06,0.125,43.36
North,1960,350000,43.0,44.3,2.0,1.0,250.0,1.0,0.2,80.0,6.4,90.0,7.2,4.0,24.0,0.6,0.08,0.144,43.79
North,1961,350000,44.0,45.3,2.0,1.0,250.0,1.0,0.2,80.0,6.4,90.0,7.31,4.0,24.0,0.6,0.08,0.144,43.81
North,1962,350000,45.0,46.3,2.0,1.2,250.0,1.0,0.2,80.0,6.4,90.0,7.41,4.0,24.0,0.6,0.08,0.144,43.83
North,1963,350000,46.0,47.4,2.0,1.7,250.0,1.0,0.2,80.0,6.4,90.0,7.52,4.0,24.0,0.6,0.08,0.144,43.84
North,1964,350000,47.0,48.4,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,7.63,4.0,24.0,0.6,0.08,0.144,43.86
North,1965,350000,48.0,49.4,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,7.74,4.0,24.0,0.6,0.08,0.144,43.88
North,1966,350000,49.0,50.5,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,7.84,4.0,24.0,0.6,0.08,0.144,43.9
North,1967,350000,50.0,51.5,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,7.95,4.0,24.0,0.6,0.08,0.144,43.92
North,1968,350000,51.0,52.5,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.06,4.0,24.0,0.62,0.08,0.149,43.91
North,1969,350000,52.0,53.6,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.17,4.0,24.0,0.709,0.08,0.17,43.79
North,1970,350000,53.0,54.6,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.27,4.0,24.0,0.798,0.08,0.191,43.67
North,1971,350000,54.0,55.6,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.38,4.0,24.0,0.878,0.08,0.211,43.56
North,1972,350000,55.0,56.6,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.49,4.0,25.0,0.992,0.08,0.238,43.4
North,1973,350000,56.0,57.7,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.6,4.0,26.0,1.129,0.08,0.271,43.21
North,1974,350000,57.0,58.7,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.7,4.0,27.0,1.249,0.08,0.3,43.04
North,1975,350000,58.0,59.7,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.81,4.0,28.0,1.306,0.08,0.314,42.96
North,1976,350000,59.0,60.8,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,8.92,4.0,29.0,1.446,0.08,0.347,42.76
North,1977,350000,60.0,61.8,2.0,2.0,250.0,1.0,0.2,80.0,6.4,90.0,9.03,4.0,30.0,1.511,0.08,0.363,42.68
North,1978,350000,61.0,62.8,2.1,2.0,250.0,1.0,0.2,80.0,6.4,90.0,9.13,4.0,31.0,1.509,0.08,0.362,42.7
